f ||| e ||| p_l->r (m|(f,e)) p_l->r (s|(f,e)) p_l->r (dl|(f,e)) p_l->r (dr|(f,e)) p_r->l (m|(f,e)) p_r->l (s|(f,e)) p_r->l (dl|(f,e)) p_r->l (dr|(f,e))
dinge treten gemeinsam ||| things come together ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
müssen hingegen außer kraft gesetzt werden . ||| should be withdrawn . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
anders geregelt . ||| different system . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
sagt er genausowenig zu ||| does not like it either ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
sind 500 000 zuviel ||| is 500 000 too many ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
perspektive auf mitgliedschaft ? ||| prospect of membership ? ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
verantwortlich ||| responsible ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
gemeinsam verantwortlich . ||| jointly responsible . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
wir leben in einer verkehrten welt ||| this is all cock - eyed ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
frau fraga . ||| mrs fraga estévez . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
seppänen . ||| seppänen . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
eine schwachstelle . ||| a weak point . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
gefahr für ||| threat to ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
haben dem zugestimmt ||| have agreed to this ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
sehr grob ||| very broad ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
im ||| there ||| 0.2566617807343932 0.6760814823166835 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
irgend jemand arbeit gefunden ? ||| anyone find work ? ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
war der ||| was the ||| 0.9539970684406359 0.005648889390010148 0.006201375577855451 0.03415266659149847 0.9574117925645276 0.005967321809140422 0.03007340753019181 0.006547478096140184
wollen diese ||| want those ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
das realisieren ||| achieve this ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
( das parlament ist ||| ( parliament ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
kennen dieses ||| know the ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
dieser wandel ist ||| this change is ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
protokoll wird genehmigt ||| minutes were approved ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ist rein instrumentell . ||| is purely instrumental . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ist ein sehr wichtiger punkt . ||| is most certainly relevant . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
( ||| ( ||| 0.9795411499284696 0.00025912336651422695 0.0002844667696263969 0.019915259935389836 0.8524705975215092 0.0019891072697134737 0.14335780251006394 0.0021824926987133947
ergreifen ||| take ||| 0.2566617807343932 0.009414815650016914 0.6770022926297591 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
ist gigantisch ||| is a mammoth ||| 0.2566617807343932 0.6760814823166835 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
ein solches vorgehen . ||| such an approach . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
wenn ich richtig verstanden ||| i thought ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
das wird ||| this has ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
darf es nicht kommen . ||| should not happen . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
verstehe , ||| understand ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
die ihm zukommenden aufgaben erfüllen ||| play their own part ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
bedeutung ||| importance ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
das ist ein klarer zeitplan ||| that is a clear timetable ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
erhielt nur begrenzten zugang ||| obtained limited access ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
, warum nicht ? ||| , why not ? ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
werden die ausgaben der zentralregierung ||| central government expenditure ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
lassen wir die führungspersonen ruhig führen ||| let the managers manage ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
beifall und unruhe ) ||| applause and mixed reactions ) ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
links ) ||| the left ) ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
danke , herr lannoye ||| thank you , mr lannoye ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
folgen lassen nicht ||| consequences do not ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
bestrebungen ||| acting upon ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.262352987607546 0.6766122030152341 0.05012234588365302 0.010912463493566974
hierzu ||| on this ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.262352987607546 0.009945536348567369 0.05012234588365302 0.6775791301602337
nicht aufgeben ||| not lose ||| 0.2566617807343932 0.009414815650016914 0.6770022926297591 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
das ||| that ||| 0.8270135083357609 0.018227350438688013 0.0001403026148836075 0.1546188386106674 0.39344538036226406 0.2861878826832651 0.09762487361350729 0.22274186334096352
anderer ||| different ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.262352987607546 0.6766122030152341 0.05012234588365302 0.010912463493566974
die dinge einfach ||| the situation is ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
nicht anders ||| was ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
das ziel ||| the target ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
mehr und ||| more , ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ja , auf welche weise ||| so , in what way ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
eine provokation ||| provocation ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
mündlicher änderungsantrag ||| oral amendment ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
stimmen diesen zielen zu ||| share them ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
herr oostlander . ||| mr oostlander . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
öffentlichen und privaten ||| public and private ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
bedeutet verbote , das bedeutet ||| means bans and ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
darauf , daß sie es ratifizieren ||| see them ratify it ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
es denn ? ||| this then ? ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ansatz soll ein anderer sein ||| approach should be different ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
das sein ? ||| this possible ? ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
wir müssen schärfere maßnahmen ergreifen ||| we have to take tougher action ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
sind zu einer ||| have achieved a ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
es gilt also , selektive fangmethoden anzuwenden ||| so we must practise selective fishing ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
habe ich bemerkt ||| i realise that ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
zum zweiten ||| secondly ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
ist es an der zeit ||| is time ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
eine gerechte gesellschaft aus ? ||| a fair society ? ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
warum sage ich das ||| and do you know why ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
schritt nach vorn . ||| step forward . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
dokumente abhanden ||| documents disappeared everywhere simultaneously ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ist teil des risikomanagements ||| is part of risk management ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
da ist zunächst der ||| the first is ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
, frau kommissarin de palacio ||| , commissioner de palacio ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
einer allgemeinen ||| a general ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
unangebracht . ||| misplaced . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
würde ||| think ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
nicht mitschuldig ||| not be accomplices ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
elemente enthalten ||| components ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
: das thema corporate governance ||| point concerns corporate governance ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
hier ist ||| we must ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
werden sie ||| are you ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
ist schlecht formuliert ||| is badly drafted ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
preis für diese permissivität ||| an irresponsible attitude ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.262352987607546 0.009945536348567369 0.05012234588365302 0.6775791301602337
das verfahren bei einem übermäßigen defizit ||| the excessive deficit procedure ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
im blickpunkt der öffentlichkeit stehen . ||| visible . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
wallström ||| wallström ||| 0.9539970684406359 0.005648889390010148 0.006201375577855451 0.03415266659149847 0.9574117925645276 0.005967321809140422 0.03007340753019181 0.006547478096140184
ist für uns sehr ||| is very ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
verehrter kollege ||| mr liese ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
verzeichnen . ||| . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
helfen nicht ||| are no ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
diese ||| the ||| 0.9107994136881271 0.0011297778780020296 0.0012402751155710903 0.0868305333182997 0.6838655661175197 0.004262372720814587 0.30719529109299415 0.00467677006867156
ist es ||| is this ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
den betrieben wechseln ||| companies , ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
eine politische einigung . ||| a political deal . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
der grundintention ||| the basic intention ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ist ein ungeheurer skandal und nicht hinnehmbar ||| is absolutely scandalous and intolerable ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
präsident ! herr kommissar ||| president , commissioner ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
werde shakespeare zitieren . ||| will quote shakespeare . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
weiß ||| understand ||| 0.2566617807343932 0.6760814823166835 0.01033562596309242 0.056921110985830796 0.262352987607546 0.6766122030152341 0.05012234588365302 0.010912463493566974
galeote quecedo ||| galeote quecedo ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
das parlament stimmt ||| parliament gave ||| 0.9539970684406359 0.005648889390010148 0.006201375577855451 0.03415266659149847 0.9574117925645276 0.005967321809140422 0.03007340753019181 0.006547478096140184
nichts . ||| nothing . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
wir haben jegliche ideologische überlegungen ||| we eliminated any ideological thinking ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
das nicht ein ||| this not a ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ein so ehrgeiziges ziel in frage stellen ||| challenge such an ambition ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
allgegenwärtig . ||| . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
wirklich genug ||| enough ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
dies ist von entscheidender bedeutung ||| that is essential ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
gibt es weitere bemerkungen ||| are there any further comments ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
eine kostendämpfung ||| to lower costs ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
wie aber lautet die wahrheit ||| and what is the truth ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
besteht aus mehreren ||| covers several ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
, herr corbett ||| , mr corbett ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
dann ||| would ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.05012234588365302 0.6775791301602337
sos demokratie bei , herr präsident ||| in sos democracy ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
nicht garantiert ||| not guaranteed ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
